Make,Model,Engine_Size_L_x,Cylinders_x,Transmission_x,CO2_Canada,Year,Engine_Size_L_y,Cylinders_y,Transmission_y,CO2_US
BMW,X1 XDRIVE28I,2.0,4,A8,209,2025,2.0,4,Auto(AM-S7),318
HONDA,ACCORD,2.4,4,AV,182,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV,182,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,AV7,186,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,AV7,186,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,2.4,4,M6,200,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,2.4,4,M6,200,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,A6,209,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,A6,209,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,AS6,221,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,AS6,221,2025,2.0,4,Auto(AV),184
HONDA,ACCORD,3.5,6,M6,251,2025,1.5,4,Auto(AV),277
HONDA,ACCORD,3.5,6,M6,251,2025,2.0,4,Auto(AV),184
HONDA,CR-V AWD,2.4,4,A5,216,2025,1.5,4,Auto(AV),312
HONDA,CR-V AWD,2.4,4,A5,216,2025,2.0,4,Auto(AV),237
HONDA,PILOT AWD,3.5,6,A5,276,2025,3.5,6,Auto(S10),415
HYUNDAI,SONATA HYBRID,2.4,4,AS6,143,2025,2.0,4,Auto(AM-S6),188
KIA,SOUL,1.6,4,A6,205,2025,2.0,4,Auto(AV),302
KIA,SOUL,1.6,4,M6,207,2025,2.0,4,Auto(AV),302
KIA,SOUL,2.0,4,A6,209,2025,2.0,4,Auto(AV),302
KIA,SOUL ECO DYNAMICS,2.0,4,A6,202,2025,2.0,4,Auto(AV),287
KIA,SPORTAGE AWD,2.0,4,A6,262,2025,2.5,4,Auto(S8),361
KIA,SPORTAGE AWD,2.4,4,A6,246,2025,2.5,4,Auto(S8),361
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.0,4,AS6,196,2025,2.5,4,Auto(S6),321
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),370
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),348
MAZDA,CX-5 4WD,2.5,4,AS6,205,2025,2.5,4,Auto(S6),321
MAZDA,MX-5,2.0,4,AS6,235,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,AS6,235,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M5,221,2025,2.0,4,Manual(M6),305
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Auto(S6),301
MAZDA,MX-5,2.0,4,M6,228,2025,2.0,4,Manual(M6),305
MERCEDES-BENZ,CLA 250,2.0,4,AS7,179,2025,2.0,4,Auto(AM8),298
MERCEDES-BENZ,E 350 4MATIC,3.5,6,AS7,230,2025,2.0,4,Auto(A9),327
MERCEDES-BENZ,G 550,5.5,8,AS7,419,2025,3.0,6,Auto(A9),490
NISSAN,ARMADA 4WD,5.6,8,A5,380,2025,3.5,6,Auto(S9),524
NISSAN,FRONTIER 4WD,4.0,6,A5,315,2025,3.8,6,Auto(S9),470
NISSAN,FRONTIER 4WD,4.0,6,M6,301,2025,3.8,6,Auto(S9),470
NISSAN,MURANO AWD,3.5,6,AV,271,2025,2.0,4,Auto(S9),387
NISSAN,PATHFINDER 4WD,3.5,6,AV,253,2025,3.5,6,Auto(S9),379
NISSAN,ROGUE AWD,2.5,4,AV,198,2025,1.5,3,Auto(AV-S8),287
NISSAN,SENTRA,1.8,4,AV,161,2025,2.0,4,Auto(AV),262
NISSAN,SENTRA,1.8,4,M6,179,2025,2.0,4,Auto(AV),262
NISSAN,VERSA,1.6,4,AV,152,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,AV,152,2025,1.6,4,Manual(M5),296
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Auto(AV),253
NISSAN,VERSA,1.6,4,M5,177,2025,1.6,4,Manual(M5),296
PORSCHE,911 CARRERA,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA,3.4,6,M7,246,2025,3.0,6,Auto(AM-S8),424
PORSCHE,911 CARRERA CABRIOLET,3.4,6,AM7,232,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 CARRERA CABRIOLET,3.4,6,M7,246,2025,3.0,6,Auto(AM-S8),429
PORSCHE,911 TURBO,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),534
PORSCHE,911 TURBO CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),546
PORSCHE,911 TURBO S,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),556
PORSCHE,911 TURBO S CABRIOLET,3.8,6,AM7,274,2025,3.7,6,Auto(AM-S8),549
PORSCHE,CAYENNE,3.6,6,A8,290,2025,3.0,6,Auto(S8),469
PORSCHE,CAYENNE,3.6,6,M6,313,2025,3.0,6,Auto(S8),469
PORSCHE,CAYENNE S,4.8,8,A8,310,2025,4.0,8,Auto(S8),492
PORSCHE,PANAMERA,3.6,6,AM7,251,2025,2.9,6,Auto(AM-S8),431
PORSCHE,PANAMERA 4,3.6,6,AM7,255,2025,2.9,6,Auto(AM-S8),425
PORSCHE,PANAMERA GTS,4.8,8,AM7,292,2025,4.0,8,Auto(AM-S8),495
ROLLS-ROYCE,GHOST,6.6,12,A8,368,2025,6.7,12,Auto(S8),609
ROLLS-ROYCE,PHANTOM,6.7,12,A8,393,2025,6.7,12,Auto(S8),609
SUBARU,BRZ,2.0,4,AS6,196,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,AS6,196,2025,2.4,4,Manual(M6),398
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Auto(S6),362
SUBARU,BRZ,2.0,4,M6,221,2025,2.4,4,Manual(M6),398
SUBARU,FORESTER AWD,2.0,4,AV,218,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,AV,198,2025,2.5,4,Auto(AV-S8),310
SUBARU,FORESTER AWD,2.5,4,M6,223,2025,2.5,4,Auto(AV-S8),310
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,AV,207,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,2.5,4,M6,225,2025,2.5,4,Auto(AV-S8),314
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.4,4,Auto(AV-S8),356
SUBARU,OUTBACK AWD,3.6,6,AS5,269,2025,2.5,4,Auto(AV-S8),314
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),417
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),415
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,4RUNNER 4WD,4.0,6,AS5,297,2025,2.4,4,Auto(S8),380
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,A4,177,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV7,168,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,AV,163,2025,2.0,4,Auto(AV-S10),265
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),257
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV),254
TOYOTA,COROLLA,1.8,4,M6,170,2025,2.0,4,Auto(AV-S10),265
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,2.7,4,AS6,237,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),370
TOYOTA,HIGHLANDER,3.5,6,AS6,258,2025,2.4,4,Auto(S8),359
TOYOTA,HIGHLANDER AWD,3.5,6,AS6,264,2025,2.4,4,Auto(S8),371
